Architecture,Benchmark,DCache Associativity,Cacheline Size,Overall Miss Rate
X86,crc,1,16,0.013452
X86,crc,1,32,0.016689
X86,crc,1,64,0.021562
X86,crc,1,128,0.040118
X86,crc,2,16,0.004911
X86,crc,2,32,0.002802
X86,crc,2,64,0.002154
X86,crc,2,128,0.003712
X86,crc,4,16,0.004666
X86,crc,4,32,0.002386
X86,crc,4,64,0.001672
X86,crc,4,128,0.001646
X86,crc,8,16,0.004659
X86,crc,8,32,0.002371
X86,crc,8,64,0.0012
X86,crc,8,128,0.000612
X86,crc,16,16,0.004659
X86,crc,16,32,0.002371
X86,crc,16,64,0.0012
X86,crc,16,128,0.000612
X86,susan,1,16,0.025886
X86,susan,1,32,0.021319
X86,susan,1,64,0.023092
X86,susan,1,128,0.034358
X86,susan,2,16,0.016235
X86,susan,2,32,0.008918
X86,susan,2,64,0.005176
X86,susan,2,128,0.003229
X86,susan,4,16,0.016141
X86,susan,4,32,0.008826
X86,susan,4,64,0.005054
X86,susan,4,128,0.003087
X86,susan,8,16,0.016111
X86,susan,8,32,0.008783
X86,susan,8,64,0.005033
X86,susan,8,128,0.003057
X86,susan,16,16,0.016113
X86,susan,16,32,0.008783
X86,susan,16,64,0.005013
X86,susan,16,128,0.003059
ARM,crc,1,16,0.008388
ARM,crc,1,32,0.008362
ARM,crc,1,64,0.011054
ARM,crc,1,128,0.020161
ARM,crc,2,16,0.004241
ARM,crc,2,32,0.002461
ARM,crc,2,64,0.001886
ARM,crc,2,128,0.003599
ARM,crc,4,16,0.004066
ARM,crc,4,32,0.002074
ARM,crc,4,64,0.001077
ARM,crc,4,128,0.000897
ARM,crc,8,16,0.004064
ARM,crc,8,32,0.002073
ARM,crc,8,64,0.001076
ARM,crc,8,128,0.000563
ARM,crc,16,16,0.004065
ARM,crc,16,32,0.002073
ARM,crc,16,64,0.001075
ARM,crc,16,128,0.000562
ARM,susan,1,16,0.019555
ARM,susan,1,32,0.014652
ARM,susan,1,64,0.015913
ARM,susan,1,128,0.02186
ARM,susan,2,16,0.013656
ARM,susan,2,32,0.007432
ARM,susan,2,64,0.004231
ARM,susan,2,128,0.002578
ARM,susan,4,16,0.013597
ARM,susan,4,32,0.007405
ARM,susan,4,64,0.004173
ARM,susan,4,128,0.002496
ARM,susan,8,16,0.01356
ARM,susan,8,32,0.007377
ARM,susan,8,64,0.004114
ARM,susan,8,128,0.002447
ARM,susan,16,16,0.01357
ARM,susan,16,32,0.007363
ARM,susan,16,64,0.004114
ARM,susan,16,128,0.002453
